,AbTest,ID,Property,Test Type,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,H_Test1,1,h1,F,16,17,100,10,98,28,27,100,100,20,100
2,H_Test1,2,h1,F,64,67,100,58,100,55,68,100,100,30,100
3,H_Test1,3,h1,F,96,94,99,92,100,75,94,100,100,41,100
4,H_Test1,7,h1,F,0,0,0,0,0,0,0,0,0,0,0
5,H_Test1,8,h1,F,63,60,99,49,100,42,62,100,100,23,100
6,H_Test1,9,h1,F,80,84,98,88,100,66,84,100,100,36,100
1,H_Test1,10,h1,F,97,95,100,97,100,73,99,100,100,46,100
13,H_Test2,4,h2,F,95,100,100,100,99,97,100,79,100,100,100
14,H_Test2,5,h2,F,99,100,100,100,99,97,100,86,100,100,100
15,H_Test2,6,h2,F,100,100,100,100,100,100,100,100,100,100,100
16,H_Test3,7,h3,F,0,0,0,0,0,0,0,0,0,0,0
17,H_Test7,1,h4,F,1,0,1,1,4,37,2,100,0,19,0
19,H_Test7,2,h4,F,1,2,3,2,4,41,3,99,1,7,3
20,H_Test7,3,h4,F,1,9,2,9,2,46,5,97,8,4,3
21,H_Test7,4,h4,F,2,4,8,6,5,10,2,1,4,13,8
22,H_Test7,5,h4,F,5,4,5,13,5,12,7,3,10,6,6
23,H_Test7,6,h4,F,16,16,13,6,3,16,13,8,15,1,19
24,H_Test7,7,h4,F,100,100,100,100,100,100,100,100,100,100,100
25,H_Test7,8,h4,F,3,2,0,1,3,37,0,97,2,9,1
26,H_Test7,9,h4,F,1,1,5,1,3,48,3,96,2,11,2
18,H_Test7,10,h4,F,10,9,6,4,3,49,7,94,9,2,3
10,H_Test11,4,h8,I,10,14,59,78,82,18,100,100,100,94,100
11,H_Test11,5,h8,I,16,16,59,69,83,27,99,100,100,96,100
12,H_Test11,6,h8,I,37,27,61,77,73,39,94,100,100,99,100
7,H_Test10,4,h7,M,13,19,10,20,16,22,72,0,100,4,0
8,H_Test10,5,h7,M,27,14,18,32,22,22,64,0,100,0,0
9,H_Test10,6,h7,M,35,34,34,24,26,33,45,0,100,2,0
27,H_Test8,1,h5,M,8,4,0,0,25,3,6,0,100,10,0
29,H_Test8,2,h5,M,14,7,10,2,25,10,11,0,100,3,0
30,H_Test8,3,h5,M,18,16,12,9,31,21,26,0,100,1,0
31,H_Test8,7,h5,M,100,100,100,100,100,100,100,100,100,100,100
32,H_Test8,8,h5,M,9,5,7,1,27,10,12,0,100,2,0
33,H_Test8,9,h5,M,13,9,13,5,35,17,11,0,100,2,0
28,H_Test8,10,h5,M,16,21,18,13,33,23,42,0,100,1,0
34,H_Test9,1,h6,M,2,6,11,3,32,1,97,0,100,4,0
36,H_Test9,2,h6,M,10,13,11,9,22,16,95,0,100,4,0
37,H_Test9,3,h6,M,22,29,24,21,21,33,91,0,100,2,0
38,H_Test9,7,h6,M,0,0,50,100,1,2,100,1,100,100,1
39,H_Test9,8,h6,M,9,11,9,8,34,13,99,0,100,4,0
40,H_Test9,9,h6,M,17,26,19,12,29,26,88,0,100,3,0
35,H_Test9,10,h6,M,22,24,44,30,29,39,81,0,100,1,0
