,AbTest,ID,Property,Test Type,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,H_Test1,1,h1,F,60,56,95,51,98,60,55,100,100,39,100
2,H_Test1,2,h1,F,93,95,98,93,100,84,95,100,100,74,100
3,H_Test1,3,h1,F,100,99,97,100,100,96,100,100,100,93,100
4,H_Test1,7,h1,F,0,0,0,0,0,0,0,0,0,0,0
5,H_Test1,8,h1,F,97,92,96,95,100,77,95,100,100,59,100
6,H_Test1,9,h1,F,98,98,98,98,100,92,99,100,100,77,100
1,H_Test1,10,h1,F,100,100,100,100,100,96,100,100,100,93,100
13,H_Test2,4,h2,F,100,100,100,100,100,100,100,100,100,100,98
14,H_Test2,5,h2,F,100,100,100,100,100,100,100,100,100,100,100
15,H_Test2,6,h2,F,100,100,100,100,100,100,100,100,100,100,100
16,H_Test3,7,h3,F,0,0,0,0,0,0,0,0,0,0,0
17,H_Test7,1,h4,F,3,4,3,5,3,41,3,94,5,19,6
19,H_Test7,2,h4,F,8,11,18,10,5,51,18,93,16,7,17
20,H_Test7,3,h4,F,42,39,29,38,6,66,33,74,31,4,31
21,H_Test7,4,h4,F,16,25,19,22,8,40,11,9,22,13,16
22,H_Test7,5,h4,F,21,20,27,24,5,40,27,10,17,6,24
23,H_Test7,6,h4,F,47,41,54,42,5,53,38,29,45,1,47
24,H_Test7,7,h4,F,100,100,100,100,100,100,100,100,100,100,100
25,H_Test7,8,h4,F,10,14,16,10,4,44,8,89,14,9,16
26,H_Test7,9,h4,F,22,29,24,18,3,60,28,83,26,11,39
18,H_Test7,10,h4,F,41,42,44,43,2,77,44,65,38,2,42
10,H_Test11,4,h8,I,40,48,64,85,79,53,88,100,99,94,100
11,H_Test11,5,h8,I,36,53,65,90,69,61,83,100,98,96,100
12,H_Test11,6,h8,I,57,53,61,72,69,73,67,100,100,99,100
7,H_Test10,4,h7,M,35,37,37,22,20,42,40,0,100,4,0
8,H_Test10,5,h7,M,45,44,36,34,26,47,46,0,97,0,0
9,H_Test10,6,h7,M,36,34,38,30,29,42,33,0,100,2,0
27,H_Test8,1,h5,M,19,19,11,4,35,14,19,0,98,10,0
29,H_Test8,2,h5,M,31,26,31,17,28,23,40,0,99,3,0
30,H_Test8,3,h5,M,43,48,47,34,39,47,54,0,99,1,0
31,H_Test8,7,h5,M,100,100,100,100,100,100,100,100,100,100,100
32,H_Test8,8,h5,M,30,22,22,15,33,25,37,0,97,2,0
33,H_Test8,9,h5,M,42,49,37,26,35,46,52,0,100,2,0
28,H_Test8,10,h5,M,31,50,46,38,40,35,40,0,100,1,0
34,H_Test9,1,h6,M,9,16,20,10,29,13,89,0,99,4,0
36,H_Test9,2,h6,M,31,32,35,33,30,32,80,0,100,4,0
37,H_Test9,3,h6,M,41,38,49,32,23,41,56,0,100,2,0
38,H_Test9,7,h6,M,1,0,50,100,2,3,100,4,100,100,2
39,H_Test9,8,h6,M,35,24,32,20,40,33,75,0,97,4,0
40,H_Test9,9,h6,M,28,42,48,25,43,40,58,0,100,3,0
35,H_Test9,10,h6,M,47,49,53,44,39,39,50,0,100,1,0
