,AbTest,ID,Property,Test Type,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,H_Test1,1,h1,F,0,7,99,3,98,6,10,100,100,15,100
2,H_Test1,2,h1,F,21,15,100,25,100,22,22,100,100,15,100
3,H_Test1,3,h1,F,75,70,100,53,100,56,71,100,100,16,100
4,H_Test1,7,h1,F,0,0,0,0,0,0,0,0,0,0,0
5,H_Test1,8,h1,F,16,20,100,19,100,18,26,100,100,7,100
6,H_Test1,9,h1,F,36,49,100,35,100,38,46,100,100,14,100
1,H_Test1,10,h1,F,69,79,100,72,100,59,77,100,100,15,100
13,H_Test2,4,h2,F,51,100,100,100,94,68,100,34,100,100,100
14,H_Test2,5,h2,F,74,100,100,100,99,77,100,39,100,100,100
15,H_Test2,6,h2,F,99,100,100,100,100,99,100,69,100,100,100
16,H_Test3,7,h3,F,0,0,0,0,0,0,0,0,0,0,0
17,H_Test7,1,h4,F,0,0,0,0,4,36,0,100,0,19,0
19,H_Test7,2,h4,F,0,0,0,0,4,39,0,100,0,7,0
20,H_Test7,3,h4,F,0,1,0,2,2,45,2,100,0,4,0
21,H_Test7,4,h4,F,1,1,1,1,4,2,0,0,2,13,3
22,H_Test7,5,h4,F,1,0,0,4,4,1,1,1,2,6,1
23,H_Test7,6,h4,F,3,4,2,0,3,3,3,1,3,1,8
24,H_Test7,7,h4,F,100,100,100,100,100,100,100,100,100,100,100
25,H_Test7,8,h4,F,0,0,0,0,3,32,0,100,0,9,0
26,H_Test7,9,h4,F,1,0,1,0,3,43,0,99,0,11,1
18,H_Test7,10,h4,F,1,2,1,1,3,44,0,100,0,2,0
10,H_Test11,4,h8,I,0,3,52,77,84,1,100,100,100,94,100
11,H_Test11,5,h8,I,1,4,51,68,87,4,100,100,100,96,100
12,H_Test11,6,h8,I,4,8,48,82,79,17,99,100,100,99,100
7,H_Test10,4,h7,M,1,1,1,17,16,8,94,0,100,4,0
8,H_Test10,5,h7,M,6,2,5,26,18,9,89,0,100,0,0
9,H_Test10,6,h7,M,15,14,9,15,30,11,73,0,100,2,0
27,H_Test8,1,h5,M,0,2,0,0,21,3,2,0,100,10,0
29,H_Test8,2,h5,M,0,4,0,1,21,0,3,0,100,3,0
30,H_Test8,3,h5,M,5,6,3,1,32,2,5,0,100,1,0
31,H_Test8,7,h5,M,100,100,100,100,100,100,100,100,100,100,100
32,H_Test8,8,h5,M,2,2,1,0,23,0,4,0,100,2,0
33,H_Test8,9,h5,M,4,2,0,0,31,3,2,0,100,2,0
28,H_Test8,10,h5,M,3,5,3,4,34,7,7,0,100,1,0
34,H_Test9,1,h6,M,0,0,1,1,32,0,100,0,100,4,0
36,H_Test9,2,h6,M,2,3,4,1,20,1,99,0,100,4,0
37,H_Test9,3,h6,M,7,6,2,2,23,10,100,0,100,2,0
38,H_Test9,7,h6,M,0,0,50,100,0,0,100,0,100,100,0
39,H_Test9,8,h6,M,2,4,2,0,37,3,100,0,100,4,0
40,H_Test9,9,h6,M,6,3,5,2,29,2,99,0,100,3,0
35,H_Test9,10,h6,M,7,4,6,9,23,13,97,0,100,1,0
