,AbTest,ID,Property,Test Type,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,H_Test1,1,h1,F,93,97,93,98,98,90,100,99,100,99,100
2,H_Test1,2,h1,F,99,100,100,100,100,100,100,100,100,100,100
3,H_Test1,3,h1,F,100,100,100,100,100,100,100,100,100,100,100
4,H_Test1,7,h1,F,0,0,0,0,0,0,0,0,0,0,0
5,H_Test1,8,h1,F,100,99,99,100,100,100,100,100,100,99,100
6,H_Test1,9,h1,F,100,100,100,100,99,99,100,100,100,100,100
1,H_Test1,10,h1,F,100,100,100,100,100,100,100,100,100,100,100
13,H_Test2,4,h2,F,100,100,100,100,100,100,100,100,100,100,100
14,H_Test2,5,h2,F,100,100,100,100,100,100,100,100,100,100,100
15,H_Test2,6,h2,F,100,100,100,100,100,100,100,100,100,100,100
16,H_Test3,7,h3,F,0,0,0,0,0,0,0,0,0,0,0
17,H_Test7,1,h4,F,82,86,90,82,67,92,86,62,83,22,81
19,H_Test7,2,h4,F,96,96,93,98,76,100,100,83,97,12,99
20,H_Test7,3,h4,F,100,100,100,100,91,100,99,93,100,16,100
21,H_Test7,4,h4,F,98,94,94,98,79,100,97,69,95,17,92
22,H_Test7,5,h4,F,97,99,99,99,79,100,96,76,98,9,97
23,H_Test7,6,h4,F,100,100,100,100,90,100,100,93,100,17,100
24,H_Test7,7,h4,F,100,100,100,100,100,100,100,100,100,100,100
25,H_Test7,8,h4,F,98,96,97,99,81,99,100,79,99,15,99
26,H_Test7,9,h4,F,99,100,100,99,89,100,99,90,100,20,100
18,H_Test7,10,h4,F,100,100,100,100,93,100,100,96,100,12,100
10,H_Test11,4,h8,I,83,84,80,82,64,84,71,100,83,97,100
11,H_Test11,5,h8,I,70,85,80,85,71,82,72,100,89,97,100
12,H_Test11,6,h8,I,80,88,90,83,65,75,82,100,96,99,100
7,H_Test10,4,h7,M,18,32,22,28,36,25,38,0,94,3,0
8,H_Test10,5,h7,M,18,17,21,17,35,24,34,0,94,1,0
9,H_Test10,6,h7,M,19,23,19,15,29,17,29,0,94,1,0
27,H_Test8,1,h5,M,23,34,26,26,38,30,46,0,95,8,0
29,H_Test8,2,h5,M,27,20,25,27,31,26,30,0,93,3,0
30,H_Test8,3,h5,M,18,17,20,24,23,16,34,0,97,1,0
31,H_Test8,7,h5,M,100,100,100,100,100,100,100,100,100,100,100
32,H_Test8,8,h5,M,25,23,29,27,38,26,35,0,92,3,0
33,H_Test8,9,h5,M,27,25,14,21,37,22,34,0,92,2,0
28,H_Test8,10,h5,M,18,15,22,16,28,22,31,0,94,1,0
34,H_Test9,1,h6,M,25,23,35,35,34,30,44,0,84,11,0
36,H_Test9,2,h6,M,22,21,26,29,36,26,36,0,94,2,0
37,H_Test9,3,h6,M,30,20,24,20,29,16,30,0,96,1,0
38,H_Test9,7,h6,M,43,56,64,100,52,47,100,50,100,100,40
39,H_Test9,8,h6,M,23,18,21,23,41,32,34,0,92,4,0
40,H_Test9,9,h6,M,23,18,19,20,39,14,28,0,94,2,0
35,H_Test9,10,h6,M,23,15,13,12,27,14,28,0,99,1,0
