,AbTest,ID,Property,Test Type,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,H_Test1,1,h1,F,90,88,92,89,100,88,94,100,100,78,100
2,H_Test1,2,h1,F,100,100,100,100,100,100,100,100,100,100,100
3,H_Test1,3,h1,F,100,100,100,100,100,100,100,100,100,100,100
4,H_Test1,7,h1,F,0,0,0,0,0,0,0,0,0,0,0
5,H_Test1,8,h1,F,100,98,99,100,100,98,100,100,100,96,100
6,H_Test1,9,h1,F,99,100,99,100,100,100,100,100,100,100,100
1,H_Test1,10,h1,F,100,100,100,100,100,100,100,100,100,100,100
13,H_Test2,4,h2,F,100,100,100,100,100,100,100,100,100,100,98
14,H_Test2,5,h2,F,100,100,100,100,100,100,100,100,100,100,99
15,H_Test2,6,h2,F,100,100,100,100,100,100,100,100,100,100,97
16,H_Test3,7,h3,F,0,0,0,0,0,0,0,0,0,0,0
17,H_Test7,1,h4,F,35,42,39,30,18,56,31,75,29,19,26
19,H_Test7,2,h4,F,58,57,62,59,16,82,52,65,65,7,66
20,H_Test7,3,h4,F,89,88,86,90,24,96,82,60,89,4,89
21,H_Test7,4,h4,F,52,58,59,56,15,83,55,39,65,13,61
22,H_Test7,5,h4,F,69,60,68,61,17,83,62,46,64,6,66
23,H_Test7,6,h4,F,88,91,93,88,28,95,87,71,87,2,91
24,H_Test7,7,h4,F,100,100,100,100,100,100,100,100,100,100,100
25,H_Test7,8,h4,F,58,59,74,59,20,74,59,62,49,9,58
26,H_Test7,9,h4,F,72,77,74,79,21,90,77,62,72,11,76
18,H_Test7,10,h4,F,92,90,93,89,29,99,92,66,95,2,91
10,H_Test11,4,h8,I,66,71,77,85,62,69,68,100,91,95,100
11,H_Test11,5,h8,I,60,66,68,74,69,79,66,100,98,96,100
12,H_Test11,6,h8,I,75,79,72,80,62,67,61,100,99,99,100
7,H_Test10,4,h7,M,41,35,26,24,37,34,40,0,97,3,0
8,H_Test10,5,h7,M,39,25,40,21,37,27,46,0,94,1,0
9,H_Test10,6,h7,M,32,29,26,17,37,23,38,0,100,2,0
27,H_Test8,1,h5,M,30,31,32,21,41,33,47,0,90,8,0
29,H_Test8,2,h5,M,28,30,34,27,39,37,48,0,97,3,0
30,H_Test8,3,h5,M,33,29,37,29,35,28,42,0,99,1,0
31,H_Test8,7,h5,M,100,100,100,100,100,100,100,100,100,100,100
32,H_Test8,8,h5,M,30,34,42,29,36,40,36,0,96,2,0
33,H_Test8,9,h5,M,26,32,34,27,34,36,41,0,99,2,0
28,H_Test8,10,h5,M,28,27,31,26,40,24,27,0,98,1,0
34,H_Test9,1,h6,M,24,31,43,24,38,29,60,0,97,4,0
36,H_Test9,2,h6,M,38,31,41,27,32,37,49,0,96,3,0
37,H_Test9,3,h6,M,26,29,25,20,32,31,44,0,99,2,0
38,H_Test9,7,h6,M,8,11,52,100,17,13,100,15,100,100,12
39,H_Test9,8,h6,M,29,38,30,30,45,31,38,0,98,2,0
40,H_Test9,9,h6,M,30,36,32,34,56,32,41,0,98,3,0
35,H_Test9,10,h6,M,34,28,24,25,41,23,39,0,99,1,0
