,AbTest,ID,Property,Test Type,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,S_Test1,1,s1,1F,4,100,-1,100,100,100,100,100,100,100,100
11,S_Test1,2,s1,1F,21,100,-1,100,100,100,100,100,100,100,100
22,S_Test1,3,s1,1F,18,100,-1,92,100,100,100,93,100,100,100
33,S_Test1,4,s1,1F,14,100,-1,100,100,100,100,100,99,100,100
41,S_Test1,5,s1,1F,13,100,-1,100,100,100,100,100,97,100,100
42,S_Test1,6,s1,1F,36,100,-1,100,100,100,100,100,98,100,100
43,S_Test1,7,s1,1F,3,100,-1,100,4,100,4,100,100,100,5
44,S_Test1,8,s1,1F,25,100,-1,100,20,100,20,100,97,100,21
45,S_Test1,9,s1,1F,36,100,-1,100,42,100,39,100,97,100,36
1,S_Test1,10,s1,1F,15,100,-1,100,100,100,100,100,100,100,100
2,S_Test1,11,s1,1F,23,100,-1,100,100,100,100,100,99,100,100
3,S_Test1,12,s1,1F,34,100,-1,100,100,100,100,100,97,100,100
4,S_Test1,13,s1,1F,6,100,-1,100,100,100,100,100,100,100,100
5,S_Test1,14,s1,1F,21,100,-1,100,100,100,100,100,98,100,100
6,S_Test1,15,s1,1F,34,100,-1,100,100,100,100,100,100,100,100
7,S_Test1,16,s1,1F,10,0,-1,99,0,0,100,19,100,4,100
8,S_Test1,17,s1,1F,19,100,-1,100,100,100,100,100,99,100,100
9,S_Test1,18,s1,1F,37,0,-1,98,0,0,98,91,99,3,100
10,S_Test1,19,s1,1F,9,100,-1,100,6,100,11,100,97,100,11
12,S_Test1,20,s1,1F,20,100,-1,100,20,100,27,100,99,100,16
13,S_Test1,21,s1,1F,32,100,-1,100,25,100,23,100,100,100,36
14,S_Test1,22,s1,1F,4,100,-1,100,100,100,100,100,98,100,100
15,S_Test1,23,s1,1F,25,100,-1,100,100,100,100,100,98,100,100
16,S_Test1,24,s1,1F,34,100,-1,100,100,100,100,100,100,100,100
17,S_Test1,25,s1,1F,7,100,-1,100,3,100,2,100,97,100,7
18,S_Test1,26,s1,1F,21,100,-1,100,23,100,19,100,100,100,18
19,S_Test1,27,s1,1F,38,100,-1,100,29,100,37,100,97,100,28
20,S_Test1,28,s1,1F,2,100,-1,100,1,100,3,100,99,100,2
21,S_Test1,29,s1,1F,14,100,-1,100,13,100,15,100,100,100,18
23,S_Test1,30,s1,1F,22,100,-1,100,23,100,14,100,98,100,32
24,S_Test1,31,s1,1F,0,0,-1,0,0,0,0,0,100,0,0
25,S_Test1,32,s1,1F,9,100,-1,100,9,100,8,100,99,100,21
26,S_Test1,33,s1,1F,25,100,-1,100,14,100,20,100,99,100,20
27,S_Test1,34,s1,1F,36,100,-1,100,40,100,40,100,100,100,35
28,S_Test1,35,s1,1F,14,100,-1,45,100,100,98,90,99,100,100
29,S_Test1,36,s1,1F,15,100,-1,100,100,100,100,100,99,100,100
30,S_Test1,37,s1,1F,43,100,-1,100,100,100,100,100,98,100,100
31,S_Test1,38,s1,1F,10,100,-1,100,100,100,100,100,100,100,100
32,S_Test1,39,s1,1F,22,100,-1,100,100,100,100,100,99,100,100
34,S_Test1,40,s1,1F,42,100,-1,100,100,100,100,100,99,100,100
35,S_Test1,41,s1,1F,11,100,-1,100,11,100,15,100,98,100,10
36,S_Test1,42,s1,1F,26,100,-1,100,24,100,20,100,98,100,26
37,S_Test1,43,s1,1F,34,100,-1,100,40,100,38,100,99,100,36
38,S_Test1,44,s1,1F,27,0,-1,64,0,0,3,56,100,3,100
39,S_Test1,45,s1,1F,41,0,-1,65,0,0,1,78,100,6,100
40,S_Test1,46,s1,1F,38,0,-1,63,1,0,2,98,99,4,100
48,S_Test2,1,s4,1F,0,0,-1,66,0,0,3,37,19,0,100
75,S_Test2,2,s4,1F,2,0,-1,56,0,0,2,67,51,1,100
108,S_Test2,3,s4,1F,5,0,-1,57,0,0,1,86,78,1,100
138,S_Test2,4,s4,1F,0,0,-1,61,0,0,4,9,4,0,100
153,S_Test2,5,s4,1F,3,0,-1,98,0,0,98,53,55,3,100
156,S_Test2,6,s4,1F,0,0,-1,97,0,0,98,94,3,0,100
159,S_Test2,7,s4,1F,0,0,-1,0,0,0,0,0,22,0,0
162,S_Test2,8,s4,1F,0,0,-1,0,0,0,0,0,5,0,0
165,S_Test2,9,s4,1F,0,0,-1,0,0,0,0,0,1,0,0
51,S_Test2,10,s4,1F,2,0,-1,65,0,0,2,42,41,0,100
54,S_Test2,11,s4,1F,1,0,-1,62,0,0,1,49,6,1,100
57,S_Test2,12,s4,1F,0,0,-1,61,0,0,1,83,2,0,100
60,S_Test2,13,s4,1F,0,0,-1,100,0,0,100,11,21,0,100
63,S_Test2,14,s4,1F,3,0,-1,67,0,0,1,78,48,4,100
66,S_Test2,15,s4,1F,2,0,-1,53,0,0,1,89,25,5,100
69,S_Test2,17,s4,1F,2,0,-1,99,0,0,100,57,23,1,100
72,S_Test2,19,s4,1F,0,0,-1,0,0,0,0,0,4,0,0
78,S_Test2,20,s4,1F,0,0,-1,0,0,0,0,0,2,0,0
81,S_Test2,21,s4,1F,0,0,-1,0,0,0,0,0,2,0,0
84,S_Test2,22,s4,1F,0,0,-1,100,0,0,97,24,6,0,100
87,S_Test2,23,s4,1F,0,0,-1,99,1,0,100,55,6,0,100
90,S_Test2,24,s4,1F,0,0,-1,100,0,0,98,95,3,1,100
93,S_Test2,25,s4,1F,0,0,-1,0,0,0,0,0,13,0,0
96,S_Test2,26,s4,1F,0,0,-1,0,0,0,0,0,4,0,0
99,S_Test2,27,s4,1F,0,0,-1,0,0,0,0,0,1,0,0
102,S_Test2,28,s4,1F,0,0,-1,0,0,0,0,0,37,0,0
105,S_Test2,29,s4,1F,0,0,-1,0,0,0,0,0,1,0,0
111,S_Test2,30,s4,1F,0,0,-1,0,0,0,0,0,1,0,0
114,S_Test2,32,s4,1F,0,0,-1,0,0,0,0,0,5,0,0
117,S_Test2,33,s4,1F,0,0,-1,0,0,0,0,0,1,0,0
120,S_Test2,34,s4,1F,0,0,-1,0,0,0,0,0,1,0,0
123,S_Test2,35,s4,1F,9,0,-1,72,1,0,0,46,94,3,100
126,S_Test2,36,s4,1F,0,0,-1,60,0,0,0,59,0,1,100
129,S_Test2,37,s4,1F,0,0,-1,55,0,0,1,95,6,1,100
132,S_Test2,38,s4,1F,0,0,-1,100,0,0,100,26,14,0,100
135,S_Test2,39,s4,1F,2,0,-1,100,0,0,100,63,5,0,100
141,S_Test2,40,s4,1F,1,0,-1,98,0,0,95,94,1,0,100
144,S_Test2,41,s4,1F,0,0,-1,0,0,0,0,0,4,0,0
147,S_Test2,42,s4,1F,0,0,-1,0,0,0,0,0,3,0,0
150,S_Test2,43,s4,1F,0,0,-1,0,0,0,0,0,1,0,0
166,S_Test5,1,s5,2M,0,100,-1,50,0,100,0,56,0,85,0
175,S_Test5,2,s5,2M,0,100,-1,53,100,100,94,34,0,89,0
186,S_Test5,3,s5,2M,0,100,-1,69,100,100,3,39,0,90,0
196,S_Test5,4,s5,2M,0,100,-1,82,0,100,0,39,0,83,0
201,S_Test5,5,s5,2M,0,100,-1,73,100,100,0,40,0,91,0
202,S_Test5,6,s5,2M,0,100,-1,45,100,100,98,56,0,75,0
203,S_Test5,7,s5,2M,0,100,-1,43,0,100,0,65,0,94,0
204,S_Test5,8,s5,2M,0,100,-1,50,0,100,0,40,0,87,0
205,S_Test5,9,s5,2M,0,100,-1,72,0,100,0,46,0,68,0
167,S_Test5,10,s5,2M,0,100,-1,44,100,100,0,34,0,80,0
168,S_Test5,11,s5,2M,0,100,-1,68,0,100,0,55,0,81,0
169,S_Test5,12,s5,2M,0,100,-1,55,100,100,6,51,0,79,0
170,S_Test5,13,s5,2M,0,100,-1,0,0,100,0,39,0,88,0
171,S_Test5,14,s5,2M,0,100,-1,55,0,100,86,59,0,85,0
172,S_Test5,15,s5,2M,0,100,-1,81,100,100,97,47,0,78,0
173,S_Test5,17,s5,2M,0,100,-1,67,0,100,0,32,0,82,0
174,S_Test5,19,s5,2M,0,100,-1,75,0,100,0,68,0,93,0
176,S_Test5,20,s5,2M,0,100,-1,49,0,100,0,62,0,88,0
177,S_Test5,21,s5,2M,0,100,-1,77,0,100,0,50,0,92,0
178,S_Test5,22,s5,2M,0,100,-1,49,0,100,0,58,0,94,0
179,S_Test5,23,s5,2M,0,100,-1,45,85,100,15,32,0,90,0
180,S_Test5,24,s5,2M,0,100,-1,47,100,100,99,41,0,80,0
181,S_Test5,25,s5,2M,0,100,-1,50,0,100,0,40,0,88,0
182,S_Test5,26,s5,2M,0,100,-1,71,0,100,0,51,0,83,0
183,S_Test5,27,s5,2M,0,100,-1,43,0,100,0,54,0,78,0
184,S_Test5,28,s5,2M,0,88,-1,81,0,100,0,44,1,91,0
185,S_Test5,29,s5,2M,0,100,-1,81,0,100,0,55,0,92,0
187,S_Test5,30,s5,2M,0,100,-1,0,0,100,0,54,0,75,0
188,S_Test5,32,s5,2M,0,100,-1,70,0,100,0,41,0,92,0
189,S_Test5,33,s5,2M,1,100,-1,68,0,100,0,59,0,86,0
190,S_Test5,34,s5,2M,0,100,-1,77,0,100,0,42,0,77,0
191,S_Test5,35,s5,2M,0,100,-1,47,0,100,0,56,0,82,0
192,S_Test5,36,s5,2M,0,100,-1,59,0,100,0,46,0,87,0
193,S_Test5,37,s5,2M,0,100,-1,52,100,100,97,45,0,71,4
194,S_Test5,38,s5,2M,0,100,-1,46,0,100,0,34,0,84,0
195,S_Test5,39,s5,2M,0,100,-1,71,0,100,84,48,0,88,0
197,S_Test5,40,s5,2M,0,100,-1,76,0,100,0,44,13,83,0
198,S_Test5,41,s5,2M,0,100,-1,74,0,100,0,61,0,92,0
199,S_Test5,42,s5,2M,0,100,-1,48,0,100,0,46,0,81,0
200,S_Test5,43,s5,2M,0,100,-1,75,0,100,0,35,1,78,0
206,S_Test6,1,s6,2M,0,100,-1,0,99,100,90,0,3,0,0
216,S_Test6,2,s6,2M,0,100,-1,48,100,0,96,69,38,92,0
228,S_Test6,3,s6,2M,22,0,-1,55,100,100,99,0,43,93,0
239,S_Test6,4,s6,2M,0,100,-1,48,0,100,0,59,0,91,0
244,S_Test6,5,s6,2M,0,100,-1,62,0,100,98,60,8,91,0
245,S_Test6,6,s6,2M,26,100,-1,46,100,100,99,57,4,79,0
246,S_Test6,7,s6,2M,0,0,-1,74,0,100,0,0,23,96,0
247,S_Test6,8,s6,2M,0,100,-1,69,0,100,0,51,0,88,0
248,S_Test6,9,s6,2M,0,100,-1,48,0,100,0,56,0,80,0
207,S_Test6,10,s6,2M,0,100,-1,67,100,100,0,73,45,93,0
208,S_Test6,11,s6,2M,0,100,-1,56,100,100,93,59,0,90,0
209,S_Test6,12,s6,2M,0,100,-1,52,100,100,99,37,52,79,0
210,S_Test6,13,s6,2M,0,0,-1,61,0,100,0,80,1,95,0
211,S_Test6,14,s6,2M,15,100,-1,44,99,0,99,62,4,94,0
212,S_Test6,15,s6,2M,0,100,-1,44,100,100,4,58,2,85,0
213,S_Test6,17,s6,2M,19,100,-1,47,100,100,6,66,40,0,0
215,S_Test6,19,s6,2M,0,100,-1,43,0,100,0,59,0,95,0
217,S_Test6,20,s6,2M,0,100,-1,80,0,100,0,40,0,87,0
218,S_Test6,21,s6,2M,0,100,-1,79,0,100,0,32,0,85,0
219,S_Test6,22,s6,2M,0,100,-1,51,0,100,0,65,0,95,0
220,S_Test6,23,s6,2M,0,100,-1,54,100,100,92,58,0,79,0
221,S_Test6,24,s6,2M,0,100,-1,60,100,100,97,54,22,77,0
222,S_Test6,25,s6,2M,0,100,-1,0,0,100,0,75,46,99,0
223,S_Test6,26,s6,2M,0,100,-1,72,0,100,0,72,6,87,0
224,S_Test6,27,s6,2M,0,100,-1,77,0,100,0,18,0,78,0
225,S_Test6,28,s6,2M,0,97,-1,45,1,100,0,82,4,99,0
226,S_Test6,29,s6,2M,0,100,-1,80,0,100,0,60,0,86,0
229,S_Test6,30,s6,2M,0,100,-1,79,0,100,0,35,0,91,0
230,S_Test6,32,s6,2M,0,100,-1,76,0,100,0,61,18,91,0
231,S_Test6,33,s6,2M,0,100,-1,48,0,100,0,45,0,80,0
232,S_Test6,34,s6,2M,0,100,-1,56,0,100,0,52,0,85,0
234,S_Test6,35,s6,2M,0,100,-1,0,0,100,0,72,39,0,0
235,S_Test6,36,s6,2M,13,100,-1,72,80,100,77,50,0,84,0
236,S_Test6,37,s6,2M,0,100,-1,73,100,100,100,56,0,77,0
237,S_Test6,38,s6,2M,0,100,-1,70,100,100,90,59,0,90,0
238,S_Test6,39,s6,2M,0,100,-1,53,100,100,94,71,0,87,0
240,S_Test6,40,s6,2M,0,100,-1,53,100,100,96,64,0,71,0
241,S_Test6,41,s6,2M,0,0,-1,76,0,100,0,45,2,93,0
242,S_Test6,42,s6,2M,0,100,-1,44,0,100,0,25,0,82,0
243,S_Test6,43,s6,2M,0,100,-1,74,0,100,0,7,0,77,0
249,S_Test7,1,s7,2M,0,100,-1,0,100,100,87,67,0,96,89
258,S_Test7,2,s7,2M,0,100,-1,72,100,100,99,55,3,96,91
269,S_Test7,3,s7,2M,19,0,-1,69,100,100,99,64,0,93,78
279,S_Test7,4,s7,2M,0,100,-1,80,0,100,0,68,0,94,94
284,S_Test7,5,s7,2M,0,100,-1,72,100,0,0,0,17,99,86
285,S_Test7,6,s7,2M,0,100,-1,81,100,100,99,50,20,75,68
286,S_Test7,7,s7,2M,0,97,-1,69,0,100,0,0,22,98,97
287,S_Test7,8,s7,2M,0,100,-1,75,0,100,0,69,0,87,80
288,S_Test7,9,s7,2M,0,100,-1,64,0,100,0,58,0,81,78
250,S_Test7,10,s7,2M,0,100,-1,73,100,100,99,68,32,94,0
251,S_Test7,11,s7,2M,0,0,-1,73,100,100,89,60,0,92,78
252,S_Test7,12,s7,2M,0,100,-1,71,100,100,99,54,0,80,72
253,S_Test7,13,s7,2M,0,100,-1,71,0,0,0,81,15,94,94
254,S_Test7,14,s7,2M,0,0,-1,72,100,100,98,56,13,94,83
255,S_Test7,15,s7,2M,0,100,-1,75,100,100,0,75,16,0,74
256,S_Test7,17,s7,2M,0,100,-1,79,100,100,98,68,0,0,90
257,S_Test7,19,s7,2M,0,100,-1,82,0,100,0,75,0,94,0
259,S_Test7,20,s7,2M,0,100,-1,75,0,100,0,59,0,89,82
260,S_Test7,21,s7,2M,0,100,-1,85,0,100,0,50,36,91,89
261,S_Test7,22,s7,2M,0,100,-1,72,0,100,0,74,1,94,89
262,S_Test7,23,s7,2M,2,100,-1,0,99,100,92,62,1,91,80
263,S_Test7,24,s7,2M,0,100,-1,73,100,100,97,52,0,86,77
264,S_Test7,25,s7,2M,0,100,-1,72,0,100,0,88,0,98,98
265,S_Test7,26,s7,2M,0,100,-1,71,0,100,0,61,0,92,82
266,S_Test7,27,s7,2M,0,100,-1,71,0,100,0,58,0,86,81
267,S_Test7,28,s7,2M,1,0,-1,82,0,100,0,91,1,0,99
268,S_Test7,29,s7,2M,0,100,-1,78,0,100,0,64,0,95,92
270,S_Test7,30,s7,2M,0,100,-1,77,0,100,0,76,0,85,82
271,S_Test7,32,s7,2M,0,100,-1,72,0,100,0,69,0,98,91
272,S_Test7,33,s7,2M,0,100,-1,65,0,0,0,61,0,86,82
273,S_Test7,34,s7,2M,0,100,-1,71,0,100,0,67,0,85,72
274,S_Test7,35,s7,2M,0,0,-1,0,0,0,92,0,0,0,0
275,S_Test7,36,s7,2M,0,100,-1,72,82,100,77,62,0,82,87
