,AbTest,ID,Property,Test Type,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,S_Test1,1,s1,1F,-1,100,-1,100,100,100,100,93,93,100,100
11,S_Test1,2,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
22,S_Test1,3,s1,1F,-1,100,-1,96,100,100,100,100,96,98,100
33,S_Test1,4,s1,1F,-1,100,-1,100,100,100,100,100,100,100,93
41,S_Test1,5,s1,1F,-1,100,-1,100,100,100,100,100,99,100,100
42,S_Test1,6,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
43,S_Test1,7,s1,1F,-1,100,-1,100,82,100,86,100,84,100,90
44,S_Test1,8,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
45,S_Test1,9,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
1,S_Test1,10,s1,1F,-1,100,-1,100,100,100,100,97,100,100,100
2,S_Test1,11,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
3,S_Test1,12,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
4,S_Test1,13,s1,1F,-1,100,-1,100,100,100,100,100,87,100,92
5,S_Test1,14,s1,1F,-1,100,-1,100,100,100,100,100,98,100,100
6,S_Test1,15,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
7,S_Test1,16,s1,1F,-1,0,-1,80,5,0,64,100,79,28,100
8,S_Test1,17,s1,1F,-1,100,-1,100,100,100,100,98,100,100,100
9,S_Test1,18,s1,1F,-1,0,-1,71,0,0,11,100,71,49,100
10,S_Test1,19,s1,1F,-1,100,-1,100,100,100,100,100,95,100,100
12,S_Test1,20,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
13,S_Test1,21,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
14,S_Test1,22,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
15,S_Test1,23,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
16,S_Test1,24,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
17,S_Test1,25,s1,1F,-1,100,-1,100,93,100,88,100,81,100,91
18,S_Test1,26,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
19,S_Test1,27,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
20,S_Test1,28,s1,1F,-1,100,-1,100,77,100,70,100,75,100,75
21,S_Test1,29,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
23,S_Test1,30,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
24,S_Test1,31,s1,1F,-1,0,-1,0,0,0,0,0,83,0,0
25,S_Test1,32,s1,1F,-1,100,-1,100,100,100,99,100,100,100,100
26,S_Test1,33,s1,1F,-1,100,-1,100,100,100,100,100,100,100,100
