,AbTest,ID,Property,Test Type,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,S_Test1,1,s1,1F,0,100,0,100,100,100,100,100,100,100,100
11,S_Test1,2,s1,1F,0,100,0,100,100,100,100,100,100,100,100
22,S_Test1,3,s1,1F,0,100,0,92,100,100,100,100,100,100,100
33,S_Test1,4,s1,1F,0,100,0,100,100,100,100,100,100,100,100
41,S_Test1,5,s1,1F,0,100,0,100,100,100,100,100,100,100,100
42,S_Test1,6,s1,1F,0,100,0,100,100,100,100,100,100,100,100
43,S_Test1,7,s1,1F,0,100,0,100,0,100,0,100,100,100,0
44,S_Test1,8,s1,1F,0,100,0,100,0,100,0,100,100,100,0
45,S_Test1,9,s1,1F,0,100,0,100,0,100,0,100,100,100,0
1,S_Test1,10,s1,1F,0,100,0,100,100,100,100,100,100,100,100
2,S_Test1,11,s1,1F,0,100,0,100,100,100,100,100,100,100,100
3,S_Test1,12,s1,1F,0,100,0,100,100,100,100,100,100,100,100
4,S_Test1,13,s1,1F,0,100,0,100,100,100,100,100,100,100,100
5,S_Test1,14,s1,1F,0,100,0,100,100,100,100,100,100,100,100
6,S_Test1,15,s1,1F,0,100,0,100,100,100,100,100,100,100,100
7,S_Test1,16,s1,1F,0,0,0,100,0,0,100,0,100,0,100
8,S_Test1,17,s1,1F,0,100,0,100,100,100,100,100,100,100,100
9,S_Test1,18,s1,1F,0,0,0,100,0,0,100,0,100,0,100
10,S_Test1,19,s1,1F,0,100,0,100,0,100,0,100,100,100,0
12,S_Test1,20,s1,1F,0,100,0,100,0,100,0,100,100,100,0
13,S_Test1,21,s1,1F,0,100,0,100,0,100,0,100,100,100,0
14,S_Test1,22,s1,1F,0,100,0,100,100,100,100,100,100,100,100
15,S_Test1,23,s1,1F,0,100,0,100,100,100,100,100,100,100,100
16,S_Test1,24,s1,1F,0,100,0,100,100,100,100,100,100,100,100
17,S_Test1,25,s1,1F,0,100,0,100,0,100,0,100,100,100,0
18,S_Test1,26,s1,1F,0,100,0,100,0,100,0,100,100,100,0
19,S_Test1,27,s1,1F,0,100,0,100,0,100,0,100,100,100,0
20,S_Test1,28,s1,1F,0,100,0,100,0,100,0,100,100,100,0
21,S_Test1,29,s1,1F,0,100,0,100,0,100,0,100,100,100,0
23,S_Test1,30,s1,1F,0,100,0,100,0,100,0,100,100,100,0
24,S_Test1,31,s1,1F,0,0,0,0,0,0,0,0,100,0,0
25,S_Test1,32,s1,1F,0,100,0,100,0,100,0,100,100,100,0
26,S_Test1,33,s1,1F,0,100,0,100,0,100,0,100,100,100,0
27,S_Test1,34,s1,1F,0,100,0,100,0,100,0,100,100,100,0
28,S_Test1,35,s1,1F,0,100,0,45,100,100,98,100,100,100,100
29,S_Test1,36,s1,1F,0,100,0,100,100,100,100,100,100,100,100
30,S_Test1,37,s1,1F,0,100,0,100,100,100,100,100,100,100,100
31,S_Test1,38,s1,1F,0,100,0,100,100,100,100,100,100,100,100
32,S_Test1,39,s1,1F,0,100,0,100,100,100,100,100,100,100,100
34,S_Test1,40,s1,1F,0,100,0,100,100,100,100,100,100,100,100
35,S_Test1,41,s1,1F,0,100,0,100,0,100,0,100,100,100,0
36,S_Test1,42,s1,1F,0,100,0,100,0,100,0,100,100,100,0
37,S_Test1,43,s1,1F,0,100,0,100,0,100,0,100,100,100,0
38,S_Test1,44,s1,1F,0,0,0,64,0,0,3,0,100,0,100
39,S_Test1,45,s1,1F,0,0,0,65,0,0,1,0,100,0,100
40,S_Test1,46,s1,1F,0,0,0,63,0,0,2,0,100,0,100
48,S_Test2,1,s4,1F,0,0,0,66,0,0,3,0,100,0,100
75,S_Test2,2,s4,1F,0,0,0,56,0,0,2,0,100,0,100
108,S_Test2,3,s4,1F,0,0,0,57,0,0,1,0,100,0,100
138,S_Test2,4,s4,1F,0,0,0,61,0,0,4,0,100,0,100
153,S_Test2,5,s4,1F,0,0,0,100,0,0,100,0,100,0,100
156,S_Test2,6,s4,1F,0,0,0,100,0,0,100,0,100,0,100
159,S_Test2,7,s4,1F,0,0,0,0,0,0,0,0,100,0,0
162,S_Test2,8,s4,1F,0,0,0,0,0,0,0,0,22,0,0
165,S_Test2,9,s4,1F,0,0,0,0,0,0,0,0,4,0,0
