Subject,Test # (Tables),pcLTL Property,,,Type,English Description
Subtraction,1,X1[0] >= X2[0]                         ,->,FG(  Y[t] == X1[0] - X2[0]  ),Functional,"If X1 initially is bgger than X2 initially, correct subtraction result is expected"
Subtraction,2,X2[0] >  X1[0]                         ,->,FG(  Y[t] == 0              ),Functional,"If X2 initially is bgger than X1 initially, 0 is ouput"
Subtraction,3,X1'[0] >  X1[0] >  X2[0]               ,->,FG( Y'[t] >  Y[t]           ),Metamorphic,"If X1 gets bigger in the 2nd simulation, Y final value is increased in the 2nd simulation"
Subtraction,4, X1[0] > X1'[0] >  X2[0]               ,->,FG( Y'[t] <  Y[t]           ),Metamorphic,"If X1 gets smaller in the second simulation, Y final value is reduced in the 2nd simulation"
Subtraction,5, X1[0] > X2'[0] >  X2[0]               ,->,FG( Y'[t] <  Y[t]           ),Metamorphic,"If X2 gets bigger in the 2nd simulation, Y final value is reduced in the 2nd simulation"
Subtraction,6, X1[0] >  X2[0] > X2'[0]               ,->,FG( Y'[t] >  Y[t]           ),Metamorphic,"If X2 gets smaller in the 2nd simulation, Y final value is increased in the 2nd simulation"
Subtraction,7,(X1'[0] == X2[0]) & (X2'[0] == X1[0])  ,->,FG( Y'[t] == 0 || Y[t] == 0 ),Metamorphic,"Subtract A-B & B-A, one of results is 0 due to subtraction implementation"
Subtraction,8,X2[0] >  X1[0]                         ,->,FG( X2[t] == X2[0] - X1[0]  ),Internal,"If X2 initially is bgger than X1 initially, X2 final value= X2 initial value - X1 initial value."
Subtraction,9,X2[0] >  X1[0]                         ,->,FG( X1[t] == 0              ),Internal,"If X2 initially is bgger than X1 initially, X1 final value = 0"
Hailstone,1,X1[0] % 2 == 0                                     ,->,FG( Y[t] == X1[0] / 2     ),Functional,"If X1 is even, Y at time t is X1 initially divided by 2"
Hailstone,2,X1[0] % 2 == 1                                     ,->,FG( Y[t] == 3 * X1[0] + 1 ),Functional,"If X1 is odd, Y at time t is X1 initially times 3 + 1"
Hailstone,3,X1[0] == 0                                         ,->,FG( Y[t] == 0             ),Functional,"If X1 is initially 0, Y at time t is 0."
Hailstone,4,( X1[0] % 2 == 0 )  &  ( X1'[0] = 2 * X1[0]     )  ,->,FG( Y'[t] > Y[t]          ),Metamorphic,"If the second simulation has a larger Input, and both are even, the 2nd simulation will have a larger Y value"
